Question No.,Name,Solution Link,Difficulty,Tags,Discuss Link
361,Bomb Enemy,https://leetcode.com/problems/bomb-enemy/description/,Medium,Dynamic Programming,https://discuss.leetcode.com/topic/104340/clean-c-direction-based-solution
362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter/description/,Medium,Design,https://discuss.leetcode.com/topic/105787/4-lines-c
364,Nested List Weight Sum II,https://leetcode.com/problems/nested-list-weight-sum-ii/description/,Medium,DFS,https://leetcode.com/problems/nested-list-weight-sum-ii/discuss/121967/10-lines-C++-recursion
369,Plus One Linked List,https://leetcode.com/problems/plus-one-linked-list/description/,Medium,Linked List,https://discuss.leetcode.com/topic/105864/simple-c-reverse-list-and-add
373,Find K Pairs with Smallest Sums,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/description/,Medium,Heap,https://discuss.leetcode.com/topic/106033/7-lines-c-minheap-and-maxheap
377,Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/description/,Medium,Dynamic Programming,https://discuss.leetcode.com/topic/100273/c-recursion
378,Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/description/,Medium,Binary Search / Heap,https://discuss.leetcode.com/topic/105997/5-lines-c-minheap-and-multiset
382,Linked List Random Node,https://leetcode.com/problems/linked-list-random-node/description/,Medium,Reservoir Sampling,https://discuss.leetcode.com/topic/106031/c-reservoir-sampling
394,Decode String,https://leetcode.com/problems/decode-string/description/,Medium,String / DFS,https://discuss.leetcode.com/topic/104396/c-0ms-recursion
398,Random Pick Index,https://leetcode.com/problems/random-pick-index/description/,Medium,Reservoir Sampling,https://discuss.leetcode.com/topic/101489/my-c-solutions
399,Evaluate Division,https://leetcode.com/problems/evaluate-division/description/,Medium,Graph,https://discuss.leetcode.com/topic/105762/clean-3ms-c-bfs
402,Remove K Digits,https://leetcode.com/problems/remove-k-digits/description/,Medium,Greedy,https://discuss.leetcode.com/topic/105966/my-c-o-n-solution
404,Sum of Left Leaves,https://leetcode.com/problems/sum-of-left-leaves/description/,Easy,Tree,https://discuss.leetcode.com/topic/91207/2-lines-c-dfs
408,Valid Word Abbreviation,https://leetcode.com/problems/valid-word-abbreviation/description/,Easy,String,https://discuss.leetcode.com/topic/108894/short-c-solution
409,Longest Palindrome,https://leetcode.com/problems/longest-palindrome/description/,Easy,Hash Table,https://discuss.leetcode.com/topic/109840/4-lines-c
411,Minimum Unique Word Abbreviation,https://leetcode.com/problems/minimum-unique-word-abbreviation/description/,Hard,Backtracking,https://discuss.leetcode.com/topic/108917/c-dfs-solution-not-easy-to-understand
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz/description/,Easy,Array,https://discuss.leetcode.com/topic/85930/c-3ms
416,Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/description/,Medium,Dynamic Programming,https://discuss.leetcode.com/topic/108717/9-lines-c-dp
