Question No.,Name,Title Link,Basic Idea
543,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/description/,DFS with O(1) for max answer
557,Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii/,"String handle: Split with space than reverse word, O(n) and O(n). Better solution is that reverse can be O(1) space in array."
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,"Note that there are n^2 possible pairs, so the key point is accelerate computation for sum and reduce unnecessary pair. 1. Cummulative sum, O(n^2) and O(1)/O(n)<br>2. Add sum into hash, check if sum - k is in hash, O(n) and O(n)"
572,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/description/,1. Tree traverse and compare<br>2. Tree to string and compare
605,Can Place Flowers,https://leetcode.com/problems/can-place-flowers/,"One time scan, check [i-1] [i] and [i+1], O(n) and O(1)"
617,Merge Two Binary Trees,https://leetcode.com/problems/merge-two-binary-trees/description/,Traverse both trees Recursion & Iterative (stack)
628,Maximum Product of Three Numbers,https://leetcode.com/problems/maximum-product-of-three-numbers/,"Actually, we should only care about min1, min2 and max1-max3, to find these five elements, we can use 1. Brute force, O(n^3) and O(1)<br>2. Sort, O(nlogn) and O(1)<br>3. Single scan with 5 elements keep, O(n) and O(1)"
654,Maximum Binary Tree,https://leetcode.com/problems/maximum-binary-tree/,"1. Divide and conquer, recursive, O(n^2)<br>2. Monotonic stack, O(n)"
665,Non-decreasing Array,https://leetcode.com/problems/non-decreasing-array/,"1. Find the broken index, then check this point, O(n) and O(1)<br>2. Replace broken point with correct value, then check if there are more than 1 broken point, O(n) and O(1)"
668,Kth Smallest Number in Multiplication Table,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table/,"Binary search, O(mlog(mn) and O(1)"
674,Longest Continuous Increasing Subsequence,https://leetcode.com/problems/longest-continuous-increasing-subsequence/,"Scan nums once, check nums[i] < nums[i+1], if not reset count, O(n) and O(1)"
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/,"Recursively check s[left == end, when not equal delete left or right."
692,Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words/,"1. Sort based on frequency and alphabetical order, O(nlgn) and O(n)<br>2. Find top k with Heap, O(nlogk) and O(n)"
697,Degree of an Array,https://leetcode.com/problems/degree-of-an-array/,"1. Find degree and value, then find smallest subarray (start and end with this value), O(n) and O(n)<br>2. Go through nums, remember left most pos and right most for each value, O(n) and O(n)"
700,Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/,"Recursive or iteration, O(logn)"
703,Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/,"1. Sort and insert into right place, O(nlgn) and O(n)<br>2. k largest heap, O(nlogk) and O(n)"
706,Design HashMap,https://leetcode.com/problems/design-hashmap/,"Hash implementation, mod is fine. Be careful about key conflict and key remove."
709,To Lower Case,https://leetcode.com/problems/to-lower-case/,String processing:<br>1. str.lower() or str.toLowerCase()<br>2. ASCII processing. O(n) and O(1)
717,1-bit and 2-bit Characters,https://leetcode.com/problems/1-bit-and-2-bit-characters/,"1. Go through bits, 1 skip next, O(n) and O(1)<br>2. Find second last zero reversely, O(n) and O(1)"
720,Longest Word in Dictionary,https://leetcode.com/problems/longest-word-in-dictionary/,"1. Brute Force, O(sum(w^2)) and O(w)<br>2. Tire Tree, O(sum(w) and O(w))<br>3. Sort and word without last char, O(nlogn + sum(w)) and O(w)"
724,Find Pivot Index,https://leetcode.com/problems/find-pivot-index/,"Seach the array to find a place where left sum is equal to right sum, O(n) and O(1)"
728,Self Dividing Numbers,https://leetcode.com/problems/self-dividing-numbers/solution/,"Brute Force check every digit, O(nlogD) and O(1)"
733,Flood Fill,https://leetcode.com/problems/flood-fill/,"1. DFS with stack or recursive, O(n) and O(n)<br>2. BFS with queue, O(n) and O(n)"
760,Find Anagram Mappings,https://leetcode.com/problems/find-anagram-mappings/,"Hash table with A's (val, index), O(n) and O(n)"
766,Toeplitz Matrix,https://leetcode.com/problems/toeplitz-matrix/,"Check from top left to bottom right, i,j == i + 1, j + 1."
771,Jewels and Stones,https://leetcode.com/problems/jewels-and-stones/description/,Count given char in string. Hash or table. [Oneline](https://leetcode.com/problems/jewels-and-stones/discuss/113574/1-liners-PythonJavaRuby)
784,Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation/,"Note that this is a 2^n problem. 1. Recursively generate result with previous result <br> 2. Bin Mask, number of zeor equal to number of alpha<br>3. Python build in product."
804,Unique Morse Code Words,https://leetcode.com/problems/unique-morse-code-words/description/,"String, Hash and Set. Set is recommended."
811,Subdomain Visit Count,https://leetcode.com/problems/subdomain-visit-count/,"String split and HashMap, O(n) and O(n)"
819,Most Common Word,https://leetcode.com/problems/most-common-word/,"String processing, be careful about 'b,b,b'. regex is recommended."
832,Flipping an Image,https://leetcode.com/problems/flipping-an-image/,"Invert and swap can be done at the same time, and careful about (n + 1)/2, O(n^2) and O(1)"
836,Rectangle Overlap,https://leetcode.com/problems/rectangle-overlap/,"1. Check position, O(1) and O(1)<br>2. Check area, O(1) and O(1) "
844,Backspace String Compare,https://leetcode.com/problems/backspace-string-compare/,"1. Stack pop when encounters #, O(n) and O(n)<br>2. Compare string from end to start, O(n) and O(1)"
852,Peak Index in a Mountain Array,https://leetcode.com/problems/peak-index-in-a-mountain-array/,"1. Scan the array until encountering decline, O(n) and O(1)<br>2. Binary seach with additional check for [i + 1], O(logn) and O(1)"
867,Transpose Matrix,https://leetcode.com/problems/transpose-matrix/,Res[i][j] = A[j][i]
868,Binary Gap,https://leetcode.com/problems/binary-gap/," 1. Store index and check, O(logn) and O(logn)<br>2. One pass and store max, O(logn) and O(1)"
872,Leaf-Similar Trees,https://leetcode.com/problems/leaf-similar-trees/,"DFS (stack or recursion) get leaf value sequence and compare, O(n) and O(n)"
876,Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,"1. Copy to array, O(n) and O(n)<br>2. Fast and slow point, where fast point is 2 times faster than slow point, O(n) and O(1)"
